Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
2695,62,0,62,6104N,SHARING BRAINCELLS,Magikid San Diego,California - South
2696,62,0,62,88454B,The Cyborgs,EASTWOOD MIDDLE SCHOOL,Texas - Region 1
2697,62,0,62,63670G,Solar Flare,STE. GENEVIEVE MIDDLE SCHOOL,Missouri
2698,62,0,62,10851H,Byte Me,RIVERVIEW LUTHERAN SCHOOL,Wisconsin
2699,61,25,36,50802K,The Emu Empire,Kaysville Junior High School,Utah
2700,61,7,54,77773R,JagBotics,MADISON MIDDLE SCHOOL,Mississippi
2701,61,0,61,99340D,Scorpions,SCHOLAR ACADEMY,Utah
2702,61,7,54,20658C,Samurai Chihuahuas,Caseville Public School,Michigan
2703,61,6,55,38501C,Gaming Titans,WAIAKEA INTERMEDIATE SCHOOL,Hawaii
2704,61,4,57,4714C,NCollege Prep,Nelson College Preparatory School,New Zealand
2705,61,0,61,77773C,Team Potato,MADISON MIDDLE SCHOOL,Mississippi
2706,61,0,61,11575A,Hubert's Fam,COLEMAN MIDDLE SCHOOL,Florida - North/Central
2707,61,0,61,33770D,Eagle Bots,COLD SPRINGS ELEMENTARY SCHOOL,Alabama
2708,61,0,61,92645K,St. Cuan's College,St. Cuan's College,Ireland
2709,61,0,61,3204V,SPC Bots Victor,St Peter's College,New Zealand
2710,61,0,61,54667A,Norse Force,Westby Middle School,Wisconsin
2711,61,0,61,67760C,The Clankers,Imagine Schools At South Lake,Florida - North/Central
2712,61,0,61,49982G,Mustang Robotics,BLUFFTON MIDDLE,South Carolina
2713,61,0,61,38006A,SDMS Alpha Team,SOUTH DEARBORN MIDDLE SCHOOL,Indiana - Region 3 - South
2714,61,0,61,61868P,Robo Stars,STEAM Azerbaijan,Azerbaijan
2715,61,0,61,21595D,WALL-E,ELEVA-STRUM MIDDLE,Wisconsin
2716,61,0,61,28017A,Curry Cubs,LAMAR LOUISE CURRY MIDDLE SCHOOL,Florida - South
2717,61,0,61,99106B,Western Plains JH B,WESTERN PLAINS JH,Kansas
2718,61,0,61,40053E,Dancing Berds,COOLEY MIDDLE SCHOOL,Arizona
2719,60,40,20,21353C,Minions,Sussex Central Middle School,Delmarva
2720,60,30,30,4613P,Barker Bluebacks,Barker College,Australia
2721,60,28,32,23394C,Edison Eagles C,THOMAS A. EDISON MIDDLE,California - South
2722,60,11,49,17704B,Velociraptors B,Thomas Jefferson Middle School,Indiana - Region 1 - North
2723,60,19,41,587E,DARING DUCKS,HILO INTERMEDIATE SCHOOL,Hawaii
2724,60,18,42,494B,Techtonic,COMMUNITY SCHOOL OF NAPLES,Florida - South
2725,60,4,56,29611W,Decepticons,Powdersville Middle School,South Carolina
2726,60,17,43,11393K,Jake,Oak View,Florida - North/Central
2727,60,17,43,93151S,RoboPanthers3,Ralph Chandler Middle School,South Carolina
2728,60,14,46,24689A,LBMS Kraken,Long Beach Middle School,New York-South
2729,60,6,54,11471H,Rapid Robots,LaSalle Preparatory School,New York-North
2730,60,0,60,40586D,MechMavericks,HICKORY RIDGE MIDDLE,North Carolina
2731,60,9,51,80190A,Big Timmy's,JCIB Middle School,Alabama
2732,60,4,56,17705F,Flaming Hot Cheetos,ZIONSVILLE WEST MIDDLE SCHOOL,Indiana - Region 2 - Central
2733,60,7,53,23241Z,Zombie Dawgz,St Bernadette,Nebraska
2734,60,7,53,8169B,Quackesters,GEORGE ELLERY HALE CHARTER ACADEMY,California - South
2735,60,7,53,22443B,loBOTomy,BUCKEYE HIGH SCHOOL,Louisiana
2736,60,7,53,17704D,Velociraptors D,Thomas Jefferson Middle School,Indiana - Region 1 - North
2737,60,2,58,2820F,The Dumpster Divers,Oyster River Middle School,New Hampshire/Vermont
2738,60,4,56,5432D,PunaTechs 5432D,KEAAU MIDDLE SCHOOL,Hawaii
2739,60,0,60,5253G,Eagle Engineers 5253G,American International School Hong Kong,Hong Kong
2740,60,7,53,17760B,Defective Robotics,Capitol City Robotics,District of Columbia
2741,60,7,53,67792A,Scoil Mhuire 2,"Scoil Mhuire, Longford",Ireland
2742,60,7,53,52166D,Northside Middle School D,NORTHSIDE MIDDLE SCHOOL,Alabama
2743,60,7,53,954A,Untitled,PINE CREST SCHOOL,Florida - South
2744,60,2,58,36345A,Emmanuel,Emmanuel College,United Kingdom
2745,60,4,56,21350C,Golden Bananas,Trinity Grammar Preparatory School,Australia
2746,60,4,56,11064C,The C Team,BRINK JHS,Oklahoma
2747,60,4,56,78550A,Holly Pond Middle Team 1,HOLLY POND MIDDLE,Alabama
2748,60,4,56,481A,The Cheese Balls,WINDY HILL MIDDLE SCHOOL,Florida - North/Central
2749,60,0,60,28134B,Otwell Robotics,Otwell Middle School,Georgia
2750,60,0,60,93601A,Bazza,Shore,Australia
2751,60,4,56,10719A,VEXIQ YJR M1,Young Jae  academy,South Korea
2752,60,4,56,10546A,STA Tigers 1,ST THOMAS AQUINAS SCHOOL,Indiana - Region 2 - Central
2753,60,2,58,40586C,Vexicon Valley,HICKORY RIDGE MIDDLE,North Carolina
2754,60,0,60,98999A,The Frog Bots,River Ridge Academy,South Carolina
2755,60,0,60,48909D,Duck & Cover 2.0 + 2,EULA J H,Texas - Region 5
2756,60,0,60,63029A,Doral Academy Middle School Robotics,Doral Academy Charter Middle School Robotics,Florida - South
2757,60,2,58,6891R,Red Bull,FAITH LUTHERAN MIDDLE SCHOOL,Nevada
2758,60,2,58,9340E,Three RoboTeers,Harvey Elementary School,Florida - North/Central
2759,60,2,58,95265C,The Arctic Fox,Henkle Middle School	,Oregon
2760,60,2,58,10256E,Nuggets {[ Yellow ]},KLONDIKE MIDDLE SCHOOL,Indiana - Region 1 - North
2761,60,2,58,83999A,FCA II A,FCA,New Brunswick/Nova Scotia/Prince Edward Island
2762,60,0,60,55509A,Royal Ghostbusters,CANNON  HELEN C JHS,Nevada
2763,60,0,60,8018B,Bulldogs,Johnston Stem Academy,Nevada
2764,60,0,60,56426B,Robociaki,Szkoła Podstawowa nr 150,Poland
2765,60,0,60,214D,DIGI-PARTY,HAMILTON HEIGHTS MIDDLE SCHOOL,Indiana - Region 2 - Central
2766,60,0,60,80697B,Blaze,KANKAKEE VALLEY MIDDLE SCHOOL,Indiana - Region 1 - North
2767,60,0,60,66366G,Nero,MARTINEZ MIDDLE SCHOOL,Florida - North/Central
2768,60,0,60,17035B,Circuit Savvy,LIBERTY PARK MIDDLE SCHOOL,Alabama
2769,60,0,60,2529H,Clay Trojan Robotics,CLAY MIDDLE SCHOOL,Indiana - Region 2 - Central
2770,60,0,60,8262D,Delta Warriors,Wahluke Junior High School,Washington
2771,60,0,60,91108E,Tech Martens,SAN MARINO ROBOTICS LAB,California - South
2772,60,0,60,240F,TrailBlazers,Trailblazer Robotics Central Forsyth Branch,Georgia
2773,60,0,60,16630C,Copycats,Steamoji Redmond,Washington
2774,60,0,60,151C,Hot Bots,Algoma District School Board,Ontario
2775,60,0,60,6909D,Hebay Huzzlers,Alhuda Academy,Massachusetts
2776,60,0,60,49982C,Mustang Robotics,BLUFFTON MIDDLE,South Carolina
2777,59,28,31,74628D,The Gear Heads,THREE RIVERS SCHOOL,Illinois
2778,59,22,37,21549A,Gearsquad,Queen Elizabeth's School,United Kingdom
2779,59,2,57,44035Y,The 3 Musketeers,Elyria Robotics,Ohio
2780,59,18,41,78808G,Nolan Ryan Junior High Team D,iCode Pearland,Texas - Region 3
2781,59,14,45,5180E,Riverwatch E,RIVERWATCH MIDDLE SCHOOL,Georgia
2782,59,11,48,2588D,WILD CardZ,STJOHN PAUL II CATHOLIC SCHOOL,Texas - Region 3
2783,59,11,48,1415C,Mechanical Masterminds,SHEPHERDSTOWN MIDDLE SCHOOL,West Virginia
2784,59,6,53,43283J,The Robo Dreamers,OLD TOWN MIDDLE,Mississippi
2785,59,7,52,72020A,WWMS-A Mechanical Mustangs,Wilbur Wright Middle School,Indiana - Region 1 - North
2786,59,0,59,67544A,The Not So Fantastic Four,Hoisington Middle School,Kansas
2787,59,7,52,4541B,Indominus VEX,York Innovation Academy,Florida - North/Central
2788,59,7,52,58831B,Electric Elites,BILOXI JUNIOR HIGH,Mississippi
2789,59,7,52,22443C,47-65 Fish,BUCKEYE HIGH SCHOOL,Louisiana
2790,59,7,52,82716D,TS Wild Billies,TWIN SPRUCE JUNIOR HIGH SCHOOL,Wyoming
2791,59,7,52,10726A,Nitro Kitties,Wood River Middle School,Idaho
2792,59,6,53,8109D,PYTHON,"Gymnázium Josefa Božka, Český Těšín, příspěvková organizace",Czech Republic
2793,59,2,57,29627C,The Pentagon,Bixby Middle School,Oklahoma
2794,59,0,59,10837A,Tobinite,Techblazers,Ontario
2795,59,0,59,23808A,HawkBot,BOBBY JOE HILL PK-8,Texas - Region 1
2796,59,0,59,9340A,Kilowatt Squad,Harvey K-8,Florida - North/Central
2797,59,0,59,76268B,Yellow Fellows- MCR B,Mind Crafters Robotics,California - South
2798,59,0,59,605B,The Bobs,Braden River Middle School,Florida - North/Central
2799,59,0,59,8169A,STEAMinators,GEORGE ELLERY HALE CHARTER ACADEMY,California - South
2800,58,0,58,92652F,The Num Nums,Horizon Science Academy McKinley,Illinois
2801,58,22,36,415A,Bingo Boom ENE,FIRST LUTHERAN SCHOOL,Wisconsin
2802,58,20,38,17089A,Pancakes,St Helena School,United Kingdom
2803,58,18,40,34470A,DoxVex,"ZŠ K. H. Máchy, Doksy",Czech Republic
2804,58,17,41,35016C,(AERO) sKeTch,ARAB JUNIOR HIGH SCHOOL,Alabama
2805,58,17,41,43767B,TechnoTigers,SEDALIA MIDDLE SCHOOL,Missouri
2806,58,17,41,34029W,The Box Tippers,Wood Oaks Junior High,Illinois
2807,58,17,41,31820A,Harris County Cybertrons,Harris County Robotics Association,Georgia
2808,58,17,41,96222A,Bella Vista Bots,Bella Vista Bots,California - North
2809,58,7,51,81800Y,Terrabyte,Pedare Christian College,Australia
2810,58,7,51,78620A,Tech Tigers,Code Ninjas Dripping Springs Tx,Texas - Region 4
2811,58,7,51,90014A,Clark Shaw Team A,CLARK-SHAW MAGNET SCHOOL,Alabama
2812,58,7,51,25678C,Algorithmics,Roland Park Magnet IB K-8,Florida - North/Central
2813,58,0,58,32810A,Owl Bots,MIAMI LAKES K-8 CENTER,Florida - South
2814,58,2,56,14301C,One Bot,Gaskill Preparatory School,New York-North
2815,58,7,51,56927B,Laker Robotics,LAKER MIDDLE SCHOOL,Michigan
2816,58,0,58,1125F,Thunder-Bolts,Harrison Middle School,Arkansas
2817,58,0,58,23761F,AMS_CT Robotics,Avon Middle School,Connecticut
2818,58,2,56,3148A,Rockabots,Travis Intermediate,Texas - Region 2
2819,58,2,56,78338C,The Flying Piglets,"PINE CREST SCHOOL, Boca Raton Campus",Florida - South
2820,58,0,58,73206A,Bionic Bobcats A,Garrett Junior High,Nevada
2821,58,2,56,4613N,4613N,Barker College,Australia
2822,58,2,56,81553C,MC-Robot,Montfort college,Thailand
2823,58,2,56,63601B,The Three Ninja Turtles,CENTRAL MIDDLE,Missouri
2824,58,2,56,23900C,Cobalt,Beechwood Middle School,South Carolina
2825,58,0,58,31337D,Team D,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,Alabama
2826,58,2,56,6876X,CTRLers,CTRLers,United Kingdom
2827,58,0,58,91710D,SMMS Robotics 91710,St. Margeret Mary School,California - South
2828,58,2,56,3620D,Forgot Password,RANDALL MIDDLE SCHOOL,Florida - North/Central
2829,58,2,56,26208A,Crash Outs,Iowa School for the Deaf,Iowa
2830,58,2,56,14012W,Vexceptional,PINECREST LAKES ACADEMY,Florida - North/Central
2831,58,2,56,56536A,MiracleMakers,Erkan Ulu Schools,Türkiye
2832,58,2,56,41041B,VEXmasters 2,Educat,Türkiye
2833,58,0,58,65630C,The Birds,TEXAS SCHOOL FOR THE DEAF,Texas - Region 4
2834,58,0,58,50802A,The Mechanical Steaks Rebooted,Kaysville Junior High School,Utah
2835,58,0,58,1502B,Banana Bob,Cathedral,Minnesota
2836,58,0,58,51404D,Cyber Squad,St Andrew’s International School Bangkok,Thailand
2837,58,0,58,28899A,Automind,Automind Center,Saudi Arabia
2838,58,0,58,26293D,J T Lambert Intermediate School,J T Lambert Intermediate School,Pennsylvania - East
2839,58,0,58,74847H,TBD,St. Mary's International School,Japan
2840,58,0,58,10726E,The Great Cube,Wood River Middle School,Idaho
2841,58,0,58,6612A,Shaoxing Cool Play-1,"Shaoxing Cool Play Education Information Consulting Co., Ltd",East China
2842,58,0,58,12905E,Robo Rampage,Salisbury East High School,Australia
2843,58,0,58,37174A,Mustangs,SPRING STATION MIDDLE SCHOOL,Tennessee
2844,58,0,58,240D,TrailBlazers,Trailblazer Robotics Central Forsyth Branch,Georgia
2845,58,0,58,8396C,// Caution Tape 67//,Caution Tape Newmarket ////,Ontario
2846,58,0,58,50316A,The Marinara Boyz,COMMODORE JOHN ROGERS ELEMENTARY/MIDDLE,Maryland
2847,58,0,58,16639A,Toad,THE FIRST ACADEMY,Florida - North/Central
2848,58,0,58,5255B,DragonBots,Somerset Oaks Leadership and Innovation,Florida - South
2849,58,0,58,31337M,Mechalotles,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,Alabama
2850,58,0,58,78B,TrailBlazers,Trailblazer Robotics,Georgia
2851,58,0,58,88Z,Patriot Robotics,VIEWPOINT SCHOOL,California - South
2852,58,0,58,76464A,Belvedere STEAM Bots,Belvedere Middle School,California - South
2853,58,0,58,59435A,Neurobots,Unidad Educativa El Prado,Ecuador
2854,58,0,58,59435B,StarBots,Unidad Educativa El Prado,Ecuador
2855,58,0,58,42314A,Cyber Nixs 2.0,Unidad Educativa Particular La Dolorosa,Ecuador
2856,58,0,58,44047C,JEDI Egghead Squadron,JEFFERSON AREA JUNIOR HIGH SCHOOL,Ohio
2857,58,0,58,6001A,AMS STEM Eagles Team A,HERBERT A. AMMONS MIDDLE SCHOOL,Florida - South
2858,58,0,58,26348S,SquishBots,SquishBots,California - North
2859,58,0,58,38006B,SDMS Bravo Team,SOUTH DEARBORN MIDDLE SCHOOL,Indiana - Region 3 - South
2860,58,0,58,80821D,Mildly Annoyed Robot,ETOWAH MIDDLE SCHOOL,Alabama
2861,58,0,58,44047E,JEDI Dronkeys,JEFFERSON AREA JUNIOR HIGH SCHOOL,Ohio
2862,58,0,58,72167A,FCS Patriots,Florida Christian School,Florida - South
2863,58,0,58,5263A,USA,Alexandria Middle School,Alabama
2864,58,0,58,51190A,CVMS-VEXecutives,CHATTANOOGA VALLEY MIDDLE SCHOOL,Georgia
2865,58,0,58,4005C,Gear Heads,FORT GIBSON MIDDLE SCHOOL,Oklahoma
2866,58,0,58,702A,Vibots,RODGERS MIDDLE SCHOOL,Florida - North/Central
2867,58,0,58,53919E,Spartan Robotics E,Bethlehem Evangelical Lutheran School,Wisconsin
2868,58,0,58,50316C,The Mario Kart Red Shell Shooters,COMMODORE JOHN ROGERS ELEMENTARY/MIDDLE,Maryland
2869,58,0,58,40101D,Fungis,Mountain View Junior High School,Utah
2870,58,0,58,69202A,Mechanical Maniacs,Gideon Hausner Jewish Day School,California - North
2871,58,0,58,46768B,Angel Architects,Fort Bend Christian Academy,Texas - Region 3
2872,58,0,58,25733C,Driver Middle School-3,Lee L Driver Middle School,Indiana - Region 1 - North
2873,58,0,58,10931E,MSP E,Middle School of Plainville,Connecticut
2874,58,0,58,4224C,Tali’ Wiiki’,Chickasaw Nation STEM Academy,Oklahoma
2875,58,0,58,70484E,VEX Monks,Independent Team,Virginia
2876,58,0,58,64119D,Tecno-Raptors Slicers,LaPorte Middle School,Indiana - Region 1 - North
2877,58,0,58,18778M,St. Joseph's 4,"St Joseph’s, Rochfortbridge",Ireland
2878,58,0,58,11485C,Mark Leon Team E,Gimnasio Campestre San Sebastián,Colombia
2879,58,0,58,56467B,Lé Cwud,HANKS MIDDLE,Texas - Region 1
2880,58,0,58,36300K,Broncos,Breck School ,Minnesota
2881,58,0,58,1460B,The Mighty Panthers,PIKEVIEW MIDDLE SCHOOL,West Virginia
2882,57,21,36,99541A,Wylie West Purple A,Wylie West Junior High School,Texas - Region 5
2883,57,21,36,55712B,Colt Squadron,LAWRENCE & HEIDI CANARELLI MIDDLE SCHOOL,Nevada
2884,57,21,36,2820R,Da Bears,Oyster River Middle School,New Hampshire/Vermont
2885,57,20,37,45881B,Creekland Middle School,Creekland Middle School,Georgia
2886,57,18,39,48212C,RoboPanthers,CANIFF LIBERTY ACADEMY,Michigan
2887,57,2,55,96991A,CTMS BearBots,Centennial Middle School,Colorado
2888,57,10,47,50901C,FSS509,Fukien Secondary School,Hong Kong
2889,57,7,50,8401B,Bragg Bots,BRAGG MIDDLE SCHOOL,Alabama
2890,57,9,48,4094A,The Wild Robots,The Wild Robots,District of Columbia
2891,57,7,50,7399X,Yabba Dabba Doo,GULFPORT CENTRAL MIDDLE SCHOOL,Mississippi
2892,57,6,51,20101J,Fishermen,McClure Junior High,Illinois
2893,57,4,53,11064D,The D Team,BRINK JHS,Oklahoma
2894,57,6,51,22443A,Robo-Panthers,BUCKEYE HIGH SCHOOL,Louisiana
2895,57,6,51,28102T,Tech Turtles,NORTH UNION MIDDLE SCHOOL,Ohio
2896,57,7,50,23850B,Totally Terrifying Turtles,ST MARY OF THE IMMACULATE CONCEPTION SCHOOL,Wisconsin
2897,57,6,51,45390A,CosmoBots,ebs Europäische Bildungsstiftung gGmbH,Germany
2898,57,6,51,1597A,D.I.N.T.,Jackson County Homeschool Robotics,Indiana - Region 3 - South
2899,57,4,53,48327T,Galen VEX IQ 3,Galen Catholic College,Australia
2900,57,0,57,5509Y,VHS Eagles,Valley Home Schoolers,Wisconsin
2901,57,4,53,6687B,Keystone Oaks B,KEYSTONE OAKS MIDDLE SCHOOL,Pennsylvania - West
2902,57,0,57,6801S,Team Anti-Brainrot,Woodcroft College,Australia
2903,57,2,55,71023D,Drone Zone,Henderson Middle School,Georgia
2904,57,2,55,76926D,Quokka Cola,Chengdu International School,West China
2905,57,0,57,69376E,MPJH 1,MOUNT PLEASANT J H,Texas - Region 2
2906,57,0,57,90418X,Mech Mavericks,Horizon Jr High,Utah
2907,57,0,57,30597D,Frog,Korea International School Jeju,South Korea
2908,57,0,57,55334B,(Insert Name Here),KNOX CITY SCHOOL,Texas - Region 5
2909,57,0,57,7922B,ISC-Suli Panthers 2,The International School of Choueifat-Sulaimani (ISC-Sulaimani),Iraq
2910,57,0,57,3136A,Black Bear Robotics,AUSTIN MIDDLE SCHOOL,Alabama
2911,57,0,57,26111A,Fantastic Four,ASU PREPARATORY ACADEMY - SOUTH PHOENIX HIGH SCHOOL,Arizona
2912,57,0,57,44725B,Decatur Middle Raider Robotics,DECATUR MIDDLE SCHOOL,Alabama
2913,57,0,57,61868M,SPR LİONS,STEAM Azerbaijan,Azerbaijan
2914,57,0,57,95979E,DAAA Potay-Toes,Liberty Middle School,Georgia
2915,57,0,57,48433A,Robotics Queens,ATTAWHEED FOUNDATION INCORPORATED,Pennsylvania - West
2916,56,7,49,5266A,SPL Minions,ST PETERS LUTHERAN SCHOOL,Indiana - Region 3 - South
2917,56,28,28,45713A,Holtville A-Team Gears,HOLTVILLE MIDDLE SCHOOL,Alabama
2918,56,18,38,3722Z,Carrot Code,The Frazer School,Florida - North/Central
2919,56,20,36,93601D,Code Blooded,Shore,Australia
2920,56,18,38,5959A,Robo Rangers,James R. Brooks Middle School - Greenwood ISD,Texas - Region 5
2921,56,18,38,49156A,Dippin Bots,ROBERTA ROAD MIDDLE,North Carolina
2922,56,4,52,263A,The Nerds,RIVERSIDE MIDDLE,South Carolina
2923,56,9,47,88180A,RPM-A,RPM Academy,Quebec
2924,56,9,47,954D,The Legally Blondes,PINE CREST SCHOOL,Florida - South
2925,56,0,56,61026J,Twining Wyverns,NATHAN TWINING MIDDLE SCHOOL,North Dakota
2926,56,7,49,90032B,El Sereno MS,El Sereno MS,California - South
2927,56,0,56,91445A,The Fantastic 5,WILLIAM S GUY MIDDLE SCHOOL,Ohio
2928,56,0,56,44047D,JEDI Clanker Squadron,JEFFERSON AREA JUNIOR HIGH SCHOOL,Ohio
2929,56,0,56,77182A,The Fire Wall,Oak Hall School,Florida - North/Central
2930,56,0,56,3722K,The Four Great Spades,The Frazer School,Florida - North/Central
2931,56,2,54,61026K,Twining Kaiju,NATHAN TWINING MIDDLE SCHOOL,North Dakota
2932,56,0,56,18159A,Leroy Jenkins,ELEANOR LEMAIRE JUNIOR HIGH SCHOOL,Nevada
2933,56,0,56,81409A,TCS Sharks,The Cotswold School Academy,United Kingdom
2934,56,0,56,299E,SVEC 299E,SKY VALLEY EDUCATION CENTER,Washington
2935,56,0,56,91710A,SMMS Robotics 91710,St. Margeret Mary School,California - South
2936,56,0,56,1110A,Southwood Academy,SOUTHWOOD ACADEMY FOR THE ARTS,South Carolina
2937,56,0,56,21415C,Meow,SOUTH OGDEN JR HIGH,Utah
2938,56,2,54,85070B,Feu Fox,Hangzhou International School,East China
2939,56,0,56,25628B,Bob The Builder Bot,RULDOLPH G. GORDON SCHOOL AT JONES MILL,South Carolina
2940,56,0,56,28241Y,ROBOTRIX,Nemesio I. Yabut Integrated School,Philippines
2941,56,0,56,78380A,Franklin Bots,Franklin Middle School,Minnesota
2942,56,0,56,42485J,Robohawks Red,JEFFERSON CENTRAL SCHOOL,New York-North
2943,56,0,56,27921B,COFBOTS,Makati Integrated School,Philippines
2944,56,0,56,6109A,Y R We Here,Chairo Christian School,Australia
2945,56,0,56,71317D,Vexing The Odds,Alabama School of Fine Arts,Alabama
2946,56,0,56,12350R,RoboWolves,LAKE RIDGE MIDDLE,Virginia
2947,56,0,56,39194C,Bobs the Builder,YAZOO COUNTY MIDDLE SCHOOL,Mississippi
2948,56,0,56,4541A,Brain Blenders,York Innovation Academy,Florida - North/Central
2949,56,0,56,58387B,Go Big or Go HOMe,HUGO A OWENS MIDDLE,Virginia
2950,56,0,56,72250B,Metal Manipulators,BUSH MIDDLE,Texas - Region 5
2951,56,0,56,17801W,Potato Monkey,GARDEN LAKES ELEMENTARY SCHOOL,Arizona
2952,56,0,56,6671D,Buer,WT Robotics Workshop,Middle China
2953,56,0,56,24016B,HYKYLDSS Team B,N.T. Heung Yee Kuk Yuen Long District Secondary School,Hong Kong
2954,56,0,56,11028D,NCSA Robotics (MS),Newton County STEAM Academy,Georgia
2955,56,0,56,17870A,Robotech Titans',BATESBURG-LEESVILLE MIDDLE SCHOOL,South Carolina
2956,56,0,56,53405C,Colonel Chaos,CASS MIDDLE SCHOOL,Georgia
2957,56,0,56,36655E,Majestic 4,Oxford Prep Academy SOC,California - South
2958,56,0,56,70001Z,ALANYA ROBOTİK TEAM,ALANYA ROBOTIK KODLAMA,Türkiye
2959,56,0,56,6307X,RoboFarmers,Mahmutlar Robotik Kodlama,Türkiye
2960,56,0,56,16036A,Astroingenieros 1, Planetario SAYAB,Mexico
2961,56,0,56,7686B,Eighth Grade Supremacy,Harrisburg Public School District,South Dakota
2962,56,0,56,29866W,The Bot Breakers,ST GABRIEL CONSOLIDATED SCHOOL,Ohio
2963,56,0,56,7508H,The Em & Em's,WESTMORELAND MIDDLE SCHOOL,Tennessee
2964,56,0,56,29611H,Mech Masters,Powdersville Middle School,South Carolina
2965,56,0,56,20861D,Buzz,Hooks Jr High,Texas - Region 2
2966,56,0,56,702B,Vibots,RODGERS MIDDLE SCHOOL,Florida - North/Central
2967,56,0,56,92833A,CMMG,Coláiste Muire Máthair,Ireland
2968,56,0,56,39648A,TechTide Dolphins,DAVID LAWRENCE JR. K-8 CENTER,Florida - South
2969,56,0,56,37183A,37183A,Cascade Middle School,Tennessee
2970,56,0,56,46296G,Gear Box,iCode,Virginia
2971,56,0,56,4299C,CouGEARS - veloCity,Ellis Middle School,Tennessee
2972,56,0,56,26762A,Quantum Wizards,RISING SUN MONTESSORI,California - North
2973,56,0,56,83000E,Robonix,"British international School Phuket,",Thailand
2974,56,0,56,752E,KELA E,Kenosha Robo Crew (YMCA),Wisconsin
2975,56,0,56,85948B,SMS Bulldogs,SEMMES MIDDLE SCHOOL,Alabama
2976,56,0,56,85571A,BIA OWL's,BALTIMORE INTERNATIONAL ACADEMY,Maryland
2977,56,0,56,42314B,Cyber Nixs,Unidad Educativa Particular La Dolorosa,Ecuador
2978,56,0,56,90385C,Austin & Co LLC,UPREP,Washington
2979,56,0,56,32275C,Lumíci In Black,Základní škola Lidická,Czech Republic
2980,56,0,56,36104B,Baldwin Knights,BALDWIN ART AND ACADEMICS MAGNET,Alabama
2981,56,0,56,7184B,SDJH Team B,SOUTH DAVIS JR HIGH,Utah
2982,56,0,56,87625D,The Asian Bears,Shelbyville Middle School,Indiana - Region 2 - Central
2983,56,0,56,7709F,Al-Faris Robo Knights,Alfaris International School,Saudi Arabia
2984,56,0,56,37296F,Nobel Nighthawks-5,Alfred B. Nobel Charter Middle School,California - South
2985,56,0,56,75194K,Shan Bots,PORTER RANCH COMMUNITY,California - South
2986,56,0,56,91445B,Slithering Serpents,WILLIAM S GUY MIDDLE SCHOOL,Ohio
2987,56,0,56,34241A,The Circuit Breakers,GOODWYN MIDDLE SCHOOL,Alabama
2988,56,0,56,61868K,Şahinlər,STEAM Azerbaijan,Azerbaijan
2989,56,0,56,33416W,Mighty DUCCs,Upper Canada College,Ontario
2990,56,0,56,10673K,MMS #7,Marshall Middle School,Pennsylvania - West
2991,56,0,56,1063B,Bobbastic BBQ bananas,GREENWOOD CHRISTIAN ACADEMY,Indiana - Region 2 - Central
2992,56,0,56,1387W,POCOYO,H L HARSHMAN MIDDLE SCHOOL,Indiana - Region 2 - Central
2993,56,0,56,7991B,IQ Generators,Christian Community School,Dominican Republic
2994,56,0,56,78447E,Frankenstein,NEW AUGUSTA PUBLIC ACADEMY - NORTH,Indiana - Region 2 - Central
2995,56,0,56,15685A,Da Bots 2.0,Kenneth Henderson Middle School,Kansas
2996,56,0,56,4606A,Technomancers,Noblesville West Middle School,Indiana - Region 2 - Central
2997,56,0,56,74756A,Mythri-Learners,Mythri Stem Academy,Nevada
2998,56,0,56,2701G,Goblin Barrels,HENRY W. MOORE SCHOOL,New Hampshire/Vermont
2999,56,0,56,28225B,The Overboards of Madison B,Madison Middle School,Connecticut
3000,56,0,56,15801X,The ConrailFans,DUBOIS AREA MIDDLE SCHOOL,Pennsylvania - West
3001,56,0,56,1391B,Panther Night Cats,Lauderhill 6-12 STEM-MED,Florida - South
3002,56,0,56,1391A,Panther Night Cats,Lauderhill 6-12 STEM-MED,Florida - South
3003,56,0,56,51961A,RoboTigers A,MOUNT PLEASANT MIDDLE,North Carolina
3004,56,0,56,31222B,Problem Fixers,J N FRIES MAGNET SCHOOL,North Carolina
3005,56,0,56,15272E,"Coláiste Íosagáin, Portarlington","Coláiste Íosagáin, Portarlington",Ireland
3006,56,0,56,10164D,PROBOTICS,Montessori British School,Colombia
3007,56,0,56,80517B,Teem Naem,ESTES PARK MIDDLE SCHOOL,Colorado
3008,56,0,56,46880M,Micro Minions,Leap Hub Education,New Jersey
3009,56,0,56,82716A,TS Milk Chocolate,TWIN SPRUCE JUNIOR HIGH SCHOOL,Wyoming
3010,56,0,56,67431D,The Green Machine,USD 473 Chapman Middle School,Kansas
3011,56,0,56,17151G,Robo Brainz,KENNETH T BEAGLE  MIDDLE SCHOOL,Michigan
3012,56,0,56,47998A,Harmony Tigers,HARMONY SCIENCE ACADEMY - BROWNSVILLE,Texas - Region 6
3013,56,0,56,10028A,Ramz,RAMAZ MIDDLE SCHOOL,New York-South
3014,55,25,30,159A,Skipper (Barbie's sister),Durham Johnston Comprehensive School,United Kingdom
3015,55,19,36,5280G,The Corgis,SOARING HEIGHTS PK-8,Colorado
3016,55,18,37,47X,The Creative Bots,EVERGREEN MIDDLE SCHOOL PTSA,Washington
